asset,position
A907_000,17
A907_001,-30
A907_002,43
A907_003,-56
A907_004,69
A907_005,-82
A907_006,95
A907_007,-25
A907_008,38
A907_009,-51
A907_010,64
A907_011,-77
A907_012,90
A907_013,-20
A907_014,33
A907_015,-46
A907_016,59
A907_017,-72
A907_018,85
A907_019,-98
A907_020,28
A907_021,-41
A907_022,54
A907_023,-67
A907_024,80
A907_025,-93
A907_026,23
A907_027,-36
A907_028,49
A907_029,-62
A907_030,75
A907_031,-88
A907_032,18
A907_033,-31
A907_034,44
A907_035,-57
A907_036,70
A907_037,-83
A907_038,96
A907_039,-26
A907_040,39
A907_041,-52
A907_042,65
A907_043,-78
A907_044,91
A907_045,-21
A907_046,34
A907_047,-47
A907_048,60
A907_049,-73
A907_050,86
A907_051,-99
A907_052,29
A907_053,-42
A907_054,55
A907_055,-68
A907_056,81
A907_057,-94
A907_058,24
A907_059,-37
A907_060,50
A907_061,-63
A907_062,76
A907_063,-89
A907_064,19
A907_065,-32
A907_066,45
A907_067,-58
A907_068,71
A907_069,-84
A907_070,97
A907_071,-27
A907_072,40
A907_073,-53
A907_074,66
A907_075,-79
A907_076,92
A907_077,-22
A907_078,35
A907_079,-48
A907_080,61
A907_081,-74
A907_082,87
A907_083,-17
A907_084,30
A907_085,-43
A907_086,56
A907_087,-69
A907_088,82
A907_089,-95
A907_090,25
A907_091,-38
A907_092,51
A907_093,-64
A907_094,77
A907_095,-90
A907_096,20
A907_097,-33
A907_098,46
A907_099,-59
A907_100,72
A907_101,-85
A907_102,98
A907_103,-28
A907_104,41
A907_105,-54
A907_106,67
A907_107,-80
A907_108,93
A907_109,-23
A907_110,36
A907_111,-49
A907_112,62
A907_113,-75
A907_114,88
A907_115,-18
A907_116,31
A907_117,-44
A907_118,57
A907_119,-70
A907_120,83
A907_121,-96
A907_122,26
A907_123,-39
A907_124,52
A907_125,-65
A907_126,78
A907_127,-91
A907_128,21
A907_129,-34
A907_130,47
A907_131,-60
A907_132,73
A907_133,-86
A907_134,99
A907_135,-29
A907_136,42
A907_137,-55
A907_138,68
A907_139,-81
A907_140,94
A907_141,-24
A907_142,37
A907_143,-50
A907_144,63
A907_145,-76
A907_146,89
A907_147,-19
A907_148,32
A907_149,-45
A907_150,58
A907_151,-71
A907_152,84
A907_153,-97
A907_154,27
A907_155,-40
A907_156,53
A907_157,-66
A907_158,79
A907_159,-92
A907_160,22
A907_161,-35
A907_162,48
A907_163,-61
A907_164,74
A907_165,-87
A907_166,17
A907_167,-30
A907_168,43
A907_169,-56
A907_170,69
A907_171,-82
A907_172,95
A907_173,-25
A907_174,38
A907_175,-51
A907_176,64
A907_177,-77
A907_178,90
A907_179,-20
A907_180,33
A907_181,-46
A907_182,59
A907_183,-72
A907_184,85
A907_185,-98
A907_186,28
A907_187,-41
A907_188,54
A907_189,-67
A907_190,80
A907_191,-93
A907_192,23
A907_193,-36
A907_194,49
A907_195,-62
A907_196,75
A907_197,-88
A907_198,18
A907_199,-31
A907_200,44
A907_201,-57
A907_202,70
A907_203,-83
A907_204,96
A907_205,-26
A907_206,39
A907_207,-52
A907_208,65
A907_209,-78
A907_210,91
A907_211,-21
A907_212,34
A907_213,-47
A907_214,60
A907_215,-73
A907_216,86
A907_217,-99
A907_218,29
A907_219,-42
A907_220,55
A907_221,-68
A907_222,81
A907_223,-94
A907_224,24
A907_225,-37
A907_226,50
A907_227,-63
A907_228,76
A907_229,-89
A907_230,19
A907_231,-32
A907_232,45
A907_233,-58
A907_234,71
A907_235,-84
A907_236,97
A907_237,-27
A907_238,40
A907_239,-53
A907_240,66
A907_241,-79
A907_242,92
A907_243,-22
A907_244,35
A907_245,-48
A907_246,61
A907_247,-74
A907_248,87
A907_249,-17
