date,A311_000,A311_001,A311_002,A311_003,A311_004
2015-01-01,43.20259389,43.68293114,43.88356555,47.07235631,52.08509017
2015-01-02,43.44308667,43.54708154,44.3750612,46.95273913,51.64768019
2015-01-03,41.96607922,43.00843845,44.30092208,45.73975272,53.21955475
2015-01-04,,,,,
2015-01-05,42.5861293,42.35274511,44.10273094,45.83844471,52.9588438
2015-01-06,43.02124815,41.86906955,43.75334011,45.19943357,53.9275768
2015-01-07,43.6602153,42.25221069,42.35835751,44.1541679,53.33046385
2015-01-08,43.23984123,41.81554363,42.35573883,42.79767384,52.98905342
2015-01-09,43.15908695,42.03001843,42.74671866,43.27146144,54.13277998
2015-01-10,42.94197544,42.67457594,42.4428771,42.55912185,52.93596782
2015-01-11,43.41554884,42.05421971,42.48272887,42.16744027,52.92885877
2015-01-12,43.38399685,42.04783202,43.00445879,42.10323509,54.0904189
2015-01-13,42.55128574,41.93147683,43.99629948,43.11948989,53.94350582
2015-01-14,42.44747041,42.60670591,43.12929683,43.32957714,55.01730616
2015-01-15,41.54360284,42.64947621,43.67852449,43.32949576,55.26223791
2015-01-16,41.27580592,43.51712379,44.00446837,43.84828458,54.35675237
2015-01-17,42.37959818,43.59225174,44.22220094,43.98501962,53.86290069
2015-01-18,41.66178116,43.78110868,43.72327998,43.46915193,53.87873762
2015-01-19,41.31375921,44.83812986,42.82536206,45.40675749,54.62886376
2015-01-20,41.28545219,44.73069242,42.95423675,45.89112435,56.54904959
2015-01-21,,,,,
2015-01-22,41.78928273,43.72944638,42.93871705,44.39372296,55.28431552
2015-01-23,42.67497407,44.22183372,44.35737965,43.3726246,54.64094493
2015-01-24,42.16529465,44.01475999,44.30395103,41.98557057,55.26584181
2015-01-25,42.56758887,43.7656821,45.47270992,42.44331848,56.54723938
2015-01-26,42.34088703,43.87980865,45.71473959,43.50327785,56.10484592
2015-01-27,43.32248528,44.61467842,46.92120123,42.73677971,57.78686744
2015-01-28,44.28526644,44.01758661,47.46056797,43.31023387,57.71226386
2015-01-29,45.38242711,43.91025573,46.31442209,42.85357754,55.49377454
2015-01-30,45.33707607,43.50911395,46.82483617,43.72938011,54.17966902
2015-01-31,44.53140303,43.85315353,47.24113931,43.68947382,53.30728664
2015-02-01,44.37923377,44.26943363,47.6770146,44.46419464,52.29647851
2015-02-02,44.73122586,45.15420796,46.83224688,43.94243857,52.09540034
2015-02-03,45.00055278,45.78945645,47.16035695,43.88058873,52.4476461
2015-02-04,45.06161245,46.07137951,47.8959372,44.11450588,52.22278352
2015-02-05,44.86691818,46.97353253,46.71607899,42.59867195,52.31264052
2015-02-06,43.93389705,47.7029385,46.40767445,43.63828659,52.94141478
2015-02-07,,,,,
2015-02-08,44.31848454,47.40831416,45.59106186,42.88458153,52.28990445
2015-02-09,44.22644491,47.40071157,45.02206561,43.52208375,51.73606727
2015-02-10,44.15445711,46.22951077,44.20017373,44.21696428,51.89875518
2015-02-11,44.85183901,45.79013111,43.50888472,44.55466657,50.57835158
2015-02-12,45.29618336,46.72943664,43.43520265,46.09883404,50.98548434
2015-02-13,45.61976904,45.60261719,43.06081784,46.77764977,50.23509116
2015-02-14,46.54150877,46.09577121,43.67215668,46.81202735,48.47013851
2015-02-15,45.65887325,47.62943656,43.69129651,45.88786907,47.99450299
2015-02-16,45.81483149,48.26270125,43.37567189,45.91583611,47.51561056
2015-02-17,45.69677442,48.22402385,44.06397623,45.66501942,48.919379
2015-02-18,46.24551968,48.45914106,43.94391505,46.01834368,48.0828784
2015-02-19,47.49764751,48.61620167,43.01014078,45.88757165,48.83827696
2015-02-20,46.83456777,49.12460107,43.47574771,45.34174765,49.35929752
2015-02-21,47.28242506,48.71646965,43.74912398,44.9770036,50.63549109
2015-02-22,46.87357522,47.75947394,44.68568175,45.71976332,50.02479338
2015-02-23,46.51675241,47.50096997,44.41132083,45.17351422,49.7752306
2015-02-24,,,,,
2015-02-25,47.63536725,47.52662871,44.22831604,46.3995745,48.65981913
2015-02-26,47.8202337,48.36938042,43.82594173,44.76413198,49.2583864
2015-02-27,46.9791789,48.51863771,43.91694194,44.09434503,48.8710323
2015-02-28,47.21337528,49.58077443,42.06251062,43.75887652,47.70033195
2015-03-01,46.9900989,49.16158568,41.69883156,43.70560296,47.08303845
2015-03-02,46.59779899,48.71501174,42.47846098,44.08381532,47.78197278
2015-03-03,46.58381429,47.27787308,41.67027517,43.76314305,48.20751461
2015-03-04,46.35458118,47.50651283,40.43415205,45.51842892,48.3377363
2015-03-05,46.25809831,46.49831653,40.31538646,45.45187944,49.09859933
2015-03-06,45.93563678,46.43157447,40.36389858,46.03329199,48.44021729
2015-03-07,46.7884695,47.16448952,40.54674112,45.84166929,48.49581878
2015-03-08,44.39372788,47.2772455,41.2484506,43.67191589,47.12668646
2015-03-09,43.84832935,46.41174097,41.38170002,44.02343011,47.60417828
2015-03-10,43.47136859,46.75844891,41.91045317,45.11236523,48.41200031
2015-03-11,42.70823691,46.32730523,42.56083392,44.26177631,47.79407387
2015-03-12,42.64146562,45.0831716,42.42980666,44.67455918,46.91409137
2015-03-13,,,,,
