date,A733_000,A733_001,A733_002,A733_003,A733_004,A733_005,A733_006
2015-01-01,38.98049426,38.11865965,46.13607422,50.22306284,51.22451711,45.74362235,54.99248419
2015-01-02,38.76057521,37.92140665,46.27097771,49.9265648,51.34500962,46.05073206,55.74516772
2015-01-03,38.7565016,37.39059484,46.63950235,49.6070298,50.5549666,45.56329971,
2015-01-04,38.48681226,36.78451469,45.95954892,,51.88045366,45.46706123,56.68867785
2015-01-05,38.70106345,35.93835975,45.66352007,51.12502239,,45.31394166,56.22915665
2015-01-06,39.61987614,36.11821558,44.13817701,51.81220927,51.51212713,45.72820839,56.41186889
2015-01-07,39.53751559,35.945179,43.48466753,52.82668671,51.71574989,45.74184619,57.75527385
2015-01-08,38.84575957,36.05107404,43.83640889,53.99471999,52.55742703,,56.90866053
2015-01-09,38.99460681,35.58649885,43.65284015,54.7514196,52.54175681,46.26218581,57.80253723
2015-01-10,40.20168148,35.64372755,43.78474621,53.37960108,52.26169911,46.02166733,59.19050127
2015-01-11,,35.88030488,44.46985598,53.32579263,53.71257973,,60.12630564
2015-01-12,40.19319099,36.04073203,44.39744273,53.26608787,52.11466013,46.25780887,59.94085063
2015-01-13,39.76911766,35.80125682,44.99052739,54.14299172,52.24899458,46.89990808,59.1808445
2015-01-14,,36.44226923,,54.67325699,52.77798194,46.8819238,57.81416661
2015-01-15,40.16688807,36.9639989,45.406124,53.78629913,52.35038749,47.1084842,
2015-01-16,39.77325643,36.89910683,45.28633778,53.70217115,52.14491021,47.64713895,58.03795117
2015-01-17,39.39407372,37.48197537,44.69874542,52.87385848,51.53462888,47.53896189,57.7534167
2015-01-18,39.77657059,,,52.27472486,49.83231149,46.39399589,57.07481154
2015-01-19,39.13058609,37.24375771,44.28309445,,49.76986587,,58.60522858
2015-01-20,38.45368785,36.92683339,,52.2775597,49.31658572,46.57830923,59.10106828
2015-01-21,38.59041706,38.26146751,44.09431392,,49.22593804,45.37091171,59.43900823
2015-01-22,39.29630347,,43.32512343,51.52277848,48.24533657,45.69222993,59.72537208
2015-01-23,38.34432905,38.4897652,42.08836177,50.71934761,47.32535593,45.80885173,59.47414972
2015-01-24,37.66935577,39.42223749,41.46864057,51.79419158,46.75247179,45.43697873,60.38316461
2015-01-25,37.9045468,39.32199042,40.90539383,52.04852617,47.37785288,46.29451281,61.39112011
2015-01-26,37.52764,39.023839,40.62662137,49.40735494,48.95707051,45.85532994,61.72708265
2015-01-27,,38.37359278,40.59872235,48.94668545,47.49705121,,61.97087069
2015-01-28,38.60571069,37.23210637,39.68337458,49.02112675,47.19853145,44.70218755,60.94899596
2015-01-29,37.6769249,,38.89124882,48.72216423,47.85023015,43.70392471,60.22087243
